@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {Slika1,Slika2,Slika3} 

@DATA
10828,7708,8263,3422,3173,4524,10677,31370,Slika2
1054,4050,2838,7901,5703,1653,13789,16251,Slika2
5588,3290,8844,3879,2291,3700,10572,19671,Slika2
1996,4284,4969,2754,2071,2191,7096,9836,Slika2
5312,8976,8206,11910,2229,4503,35675,25943,Slika2
7068,1629,10475,6056,1972,2238,7272,6371,Slika2
5208,2390,1895,2970,2233,3350,5795,7170,Slika2
663,7434,5116,4707,3835,2507,8314,7669,Slika2
252,9815,5228,3783,3139,1823,23691,36516,Slika2
4760,9376,12566,3962,2230,1884,18328,25825,Slika2
9202,3801,12330,5261,3930,2812,13655,12695,Slika2
26711,11647,3728,4219,1981,3160,30038,26889,Slika2
8792,5006,9697,4200,5566,2588,12932,5587,Slika2
5747,5279,9962,5250,3652,4109,6477,7392,Slika2
25372,23399,17662,10539,2097,1642,32935,56045,Slika2
17671,5829,2210,7184,3462,4661,25222,62999,Slika2
11487,6170,4220,7057,3536,2712,15008,71550,Slika2
21940,12676,18874,5465,1995,5988,17606,26217,Slika2
