@RELATION EEG 
 
@ATTRIBUTE Alpha_1  NUMERIC 
@ATTRIBUTE Alpha_2  NUMERIC 
@ATTRIBUTE Beta_1  NUMERIC 
@ATTRIBUTE Beta_2  NUMERIC 
@ATTRIBUTE Gamma_1  NUMERIC 
@ATTRIBUTE Gamma_2  NUMERIC 
@ATTRIBUTE Delta  NUMERIC 
@ATTRIBUTE Theta  NUMERIC 
 
@ATTRIBUTE class  {Slika1,Slika2,Slika3} 

@DATA
15391,10691,5476,6109,2646,1346,16774,12416,Slika1
15032,18339,21436,4989,5287,2118,42513,45393,Slika1
3296,4631,6295,7586,5553,2240,43689,18382,Slika1
8133,22784,22838,41056,6251,2809,327403,142843,Slika1
16455,4248,14514,12049,8208,4161,20011,9264,Slika1
12303,7488,7277,6584,5674,3247,13625,60766,Slika1
14860,12787,19996,13515,7377,988,366233,4357,Slika1
3469,1800,1790,6177,3703,3836,8066,15430,Slika1
4456,4236,6533,10760,2864,2845,10948,31297,Slika1
11367,6829,4447,4210,8545,2400,31221,26547,Slika1
7239,2814,4459,9376,7767,2386,9180,9214,Slika1
17947,9953,9579,6444,4759,1481,46490,14999,Slika1
22719,28360,17219,16873,2533,1517,112306,8003,Slika1
1186,1735,2531,2575,1288,256,71181,26385,Slika1
6948,4296,1432,16339,3607,1607,17130,15761,Slika1
2114,3303,10316,7527,2991,1515,7450,9865,Slika1
1568,3777,7840,11223,3606,1340,19129,25222,Slika1
8459,10180,6977,10020,2297,2926,11851,32259,Slika1
4307,2416,2598,4467,4427,1232,9844,15805,Slika1
19369,14055,6667,7615,4759,2480,27991,21035,Slika1
1313,1421,3617,2264,371,398,124391,31591,Slika1
23780,21582,23815,9423,20659,4857,404122,100431,Slika1
10742,9032,4528,13679,13961,5881,398469,40693,Slika1
4140,6154,3816,4483,5464,2555,9496,7198,Slika1
4111,862,6819,6259,1338,583,163755,61567,Slika1
1274,2417,1998,2769,840,412,164546,11715,Slika1
7264,2583,2180,4407,3123,2046,2248,2701,Slika1
6460,7643,4196,3429,1171,1521,3543,5331,Slika1
8606,5615,2512,8972,1381,1020,5667,31664,Slika1
9970,2904,4288,3924,2059,913,8515,16375,Slika1
596,1907,1755,5429,2185,1655,3892,5640,Slika1
12519,14102,5773,5717,1709,2362,9878,13763,Slika1
11662,19960,4778,6338,2345,1393,9952,6743,Slika1
7134,3468,2994,2799,2403,1033,9789,6835,Slika1
7678,45827,7031,22222,10119,6370,290205,152898,Slika1
33053,28234,58467,38168,7734,6223,344815,164216,Slika1
5776,6922,3798,3149,1226,557,892020,36025,Slika1
495796,137959,297246,419254,79984,29044,2045462,888295,Slika1
23996,18005,15476,33969,3644,2328,802218,43160,Slika1
16774,13214,16668,8518,1992,824,122410,5867,Slika1
44512,24453,24800,32387,9776,5212,619043,140776,Slika1
31182,10807,36366,19670,8490,2021,598051,43236,Slika1
27371,14021,3290,6240,2903,3285,829093,33852,Slika1
3350,27317,10094,14850,6057,2057,414810,56818,Slika1
29786,15685,31283,16790,7703,1872,398777,322099,Slika1
85067,15614,54225,18923,12006,2415,743561,227824,Slika1
15120,5984,18836,16670,3326,2576,111548,25502,Slika2
13214,37707,14131,5363,2984,3185,13793,15891,Slika2
3481,26971,13112,5822,4614,6351,46966,27696,Slika2
30326,8183,8168,6323,4472,1579,59030,29089,Slika2
3579,13059,17422,11370,2685,1374,43360,71969,Slika2
9011,7746,3341,3813,4536,2733,125470,15349,Slika2
1246,8941,6177,7985,4909,2100,41572,22718,Slika2
5062,2215,3116,4674,1036,293,207976,18912,Slika2
5690,12935,4050,9808,3434,2708,62546,30615,Slika2
11463,15359,10121,12152,4300,3107,31046,161860,Slika2
3474,5234,7851,7295,6904,1551,72356,32512,Slika2
59390,11947,16601,11702,2223,2218,84267,94241,Slika2
36121,7208,10356,11808,3856,2280,204357,46520,Slika2
19342,10578,8746,13854,3141,2778,77164,84996,Slika2
17323,11899,10341,7210,5977,1292,77558,42964,Slika2
9974,6145,8853,5040,7771,2060,40612,31884,Slika2
28944,6397,7272,7031,3567,4516,21200,7517,Slika2
5834,1763,8182,14475,4417,2558,14495,41963,Slika2
7253,4022,6547,9673,7491,2282,7488,31459,Slika2
45798,15211,8892,4875,4683,1669,10047,6986,Slika2
20530,28755,9852,14314,4009,4495,21284,58519,Slika2
17463,16374,4289,6347,5065,8416,76834,27516,Slika2
8254,6998,9308,8223,6299,2687,26585,20138,Slika2
19007,34574,5809,9314,6793,3543,45286,66032,Slika2
7272,27530,14183,9356,3078,4054,32338,19713,Slika2
29042,8657,5235,6278,2047,2065,58990,16006,Slika2
8325,4576,9095,13195,6915,979,183580,49511,Slika2
32441,5168,5284,7861,2125,3265,33598,17525,Slika2
30869,3238,18873,7653,7295,3599,62042,71024,Slika2
10827,30480,9284,5001,5974,5945,20351,36152,Slika2
37018,13025,6212,5942,3092,1725,65632,17479,Slika2
24414,12075,23290,7014,10036,4429,42269,33988,Slika1
11437,24719,5083,5034,2133,2165,462625,85184,Slika1
